Name,Language,Sex,Age,Email,,,,,,
,,,,,,,,,,
,en,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Workouts,,,,,,,,,,
,,,,,,,,,,
Name,Date,Body weight,Shape,Sleep,Calories,Stress,,,,
,,,,,,,,,,
"Week#3, Day#4: Legs, Back, Abs etc.",2023-06-21,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,115,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,115,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,125,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,125,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Good Morning - Hamstring Focus",Set,1,reps,10,weight,95,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Smith Machine Good Morning - Hamstring Focus",Set,1,reps,10,weight,95,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Smith Machine Good Morning - Hamstring Focus",Set,1,reps,10,weight,95,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Cable Close Grip Seated Row",Set,1,reps,10,weight,66,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Lying Triceps Extension",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
"Exercise, Cable Close Grip Seated Row",Set,1,reps,10,weight,66,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Lying Triceps Extension",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
"Exercise, Cable Close Grip Seated Row",Set,1,reps,10,weight,66,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Lying Triceps Extension",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week #3, Day#3 , Shoulders, Triceps etc.",2023-06-19,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Dumbbell Z-Press",Set,1,reps,6,weight,20,,,,
,,,,,,,,,,
"Exercise, SL Hip Bridge",Set,1,reps,8,weight,12.5,,,,
,,,,,,,,,,
